Country Name,Country Code,Series Name,Series Code,Year,Value
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1970,1320.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1971,1470.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1972,1470.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1973,1820.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1974,2470.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1975,2720.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1976,2360.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1977,2210.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1978,2480.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1979,2950.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1980,3260.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1981,2800.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1982,2660.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1983,2860.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1984,3200.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1985,3070.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1986,3380.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1987,3490.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1988,3860.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1989,2910.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1990,3180.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1991,3850.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1992,6040.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1993,7080.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1994,7570.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1995,7310.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1996,7680.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1997,8080.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1998,7960.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,1999,7510.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2000,7400.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2001,6930.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2002,4010.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2003,3620.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2004,3340.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2005,4230.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2006,5440.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2007,6460.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2008,7600.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2009,7720.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2010,9160.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2011,10590.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2012,11770.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2013,12760.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2014,12240.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2015,12500.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2016,12130.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2017,13070.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2018,12390.00
Argentina,ARG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,2019,11210.00
