A,B,C,D,E,F,G,H,I,J,K,L
-1338845.18,-2058865.842,-3561641.617,-6029268.016,-7844212.511,-8585413.558,-5752272.327,-2852232.655,-3447809.712,-1449218.312,-143852.638,-36840.282
914013.197,1440229.240,2696458.992,4433820.484,5763472.226,6048816.487,4074144.573,2129157.731,2534125.161,1033198.383,89001.501,23449.129
141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917,141016.917
30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957,30133.957
12578.418,17503.882,32262.648,46959.465,64363.202,64758.006,48598.654,26338.093,33056.852,12845.933,0.000,0.000
6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333,6908.333
6289.209,8751.941,16131.324,23479.732,32181.601,32379.003,24299.327,13169.046,16528.426,6422.967,0.000,0.000
8805.140,9095.870,12864.130,12864.130,12864.130,12864.130,12864.130,12864.130,12864.130,12864.130,12864.130,12864.130
240551.269,364736.666,440991.249,509936.478,397180.717,224180.896,60298.164,-26556.388,-104222.099,-153663.986,-169824.227,-168629.917
400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000,400.000
78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938,78910.938
45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232,45647.232
12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000,12500.000
5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140,5934.140
1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000,1625.000
9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840,9509.840
2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000
500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000,500.000
3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542,3423.542
937.500,937.500,937.500,937.500,937.500,937.500,937.500,937.500,937.500,937.500,937.500,937.500
3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400,3273.400
3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000,3000.000
27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250,27074.250
1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992,1201.992
195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000
41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948,41167.948
897.827,897.827,897.827,897.827,897.827,897.827,897.827,897.827,897.827,897.827,897.827,897.827
9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000,9300.000
559.000,559.000,559.000,559.000,559.000,559.000,559.000,559.000,559.000,559.000,559.000,559.000
408.333,408.333,408.333,408.333,408.333,408.333,408.333,408.333,408.333,408.333,408.333,408.333
29.583,29.583,29.583,29.583,29.583,29.583,29.583,29.583,29.583,29.583,29.583,29.583
630.000,630.000,630.000,630.000,630.000,630.000,630.000,630.000,630.000,630.000,630.000,630.000
449.671,449.671,449.671,449.671,449.671,449.671,449.671,449.671,449.671,449.671,449.671,449.671
100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000
299.000,299.000,299.000,299.000,299.000,299.000,299.000,299.000,299.000,299.000,299.000,299.000
7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500,7.500
2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565,2158.565
33.750,33.750,33.750,33.750,33.750,33.750,33.750,33.750,33.750,33.750,33.750,33.750
1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504,1204.504
1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000,1500.000
1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083,1552.083
195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000,195.000
17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000,17500.000
600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000,600.000
80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000,80.000
