A,B,C,D,E,F,G,H,I,J,K,L
-1338845.18,-2058865.84,-3561641.62,-6029268.02,-7844212.51,-8585413.56,-5752272.33,-2852232.66,-3447809.71,-1449218.31,-143852.64,-36840.28
914013.2,1440229.24,2696458.99,4433820.48,5763472.23,6048816.49,4074144.57,2129157.73,2534125.16,1033198.38,89001.5,23449.13
141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92,141016.92
30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96,30133.96
12578.42,17503.88,32262.65,46959.46,64363.2,64758.01,48598.65,26338.09,33056.85,12845.93,0.0,0.0
6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33,6908.33
6289.21,8751.94,16131.32,23479.73,32181.6,32379.0,24299.33,13169.05,16528.43,6422.97,0.0,0.0
8805.14,9095.87,12864.13,12864.13,12864.13,12864.13,12864.13,12864.13,12864.13,12864.13,12864.13,12864.13
240551.27,364736.67,440991.25,509936.48,397180.72,224180.9,60298.16,-26556.39,-104222.1,-153663.99,-169824.23,-168629.92
400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94,78910.94
45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23,45647.23
12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0,12500.0
5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14,5934.14
1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0,1625.0
9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84,9509.84
2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54,3423.54
937.5,937.5,937.5,937.5,937.5,937.5,937.5,937.5,937.5,937.5,937.5,937.5
3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4,3273.4
3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25,27074.25
1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99,1201.99
195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95,41167.95
897.83,897.83,897.83,897.83,897.83,897.83,897.83,897.83,897.83,897.83,897.83,897.83
9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0,9300.0
559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0,559.0
408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33,408.33
29.58,29.58,29.58,29.58,29.58,29.58,29.58,29.58,29.58,29.58,29.58,29.58
630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0
449.67,449.67,449.67,449.67,449.67,449.67,449.67,449.67,449.67,449.67,449.67,449.67
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0
7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56,2158.56
33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75,33.75
1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5,1204.5
1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08,1552.08
195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0
17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0,17500.0
600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0,3809.0
988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0,988.0
48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33,48133.33
1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5,142.5
1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75,1317.75
2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25,2610.25
3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75,3599.75
21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75,21676.75
200.17,200.17,200.17,200.17,200.17,200.17,200.17,200.17,200.17,200.17,200.17,200.17
5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0,5430.0
1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75,1923.75
107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0
2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6,2107.6
8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0,8400.0
2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0,2500.0
237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52,17193.52
3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0,3900.0
2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33,2083.33
108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33,108.33
5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83,5.83
1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58,1164.58
