1,2,3,4,5,6,7,8,9,10,11,12
-3348790.49,-4143761.41,-4533571.11,-4344600.0,-3562200.0,-976800.0,-359341.38,-594399.97,-377860.43,-3850641.28,-7890182.65,-8232154.1
-2918343.2,-3077965.29,-3255814.12,-3126569.94,-3353990.0,-3960443.49,-3799716.74,-3696984.19,-3844178.95,-3003273.26,-1203421.51,-1095441.86
136638.23,51418.48,12761.1,1000.0,1000.0,1000.0,14255.34,23220.76,15653.17,150423.78,294256.22,312958.29
15912.83,5915.0,1379.79,0.0,0.0,0.0,1555.09,2606.9,1719.08,17530.12,34404.28,36598.37
1768656.42,2402345.52,2783144.1,2738185.0,2643660.0,2103585.0,1773770.78,1754147.48,1796228.43,2074874.73,1969879.74,1991135.7
46543.59,63219.62,73240.63,72057.5,69570.0,55357.5,46678.18,46161.78,47269.17,54601.97,51838.94,52398.31
390966.16,531044.8,615221.33,605283.0,584388.0,465003.0,392096.7,387758.92,397061.02,458656.52,435447.1,440145.79
344422.57,467825.18,541980.69,533225.5,514818.0,409645.5,345418.52,341597.14,349791.85,404054.55,383608.16,387747.48
58658.54,63178.05,65495.3,63500.0,62500.0,56300.0,51876.83,52010.98,53353.66,55002.44,54097.56,55463.41
167317.07,176356.1,180990.61,177000.0,175000.0,162600.0,153753.66,154021.95,156707.32,160004.88,158195.12,160926.83
46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0,46375.0
192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44,192461.44
394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0,394946.0
7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0,7400.0
29183.43,60023.65,74987.44,74711.7,69161.9,49372.43,37997.17,36969.84,38441.79,30032.73,12034.22,10954.42
49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33,49333.33
879396.52,785275.55,774743.53,766949.7,746643.41,783978.62,794778.49,831460.23,859423.75,819378.18,705111.4,604708.99
4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6,4280.6
